Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0642,1030,270,1300,1783,72.91%,980,267,1247
"District Judge, 339th Judicial District",0643,1948,593,2541,4189,60.66%,1156,1281,2437
"District Judge, 339th Judicial District",0644,2087,689,2776,4446,62.44%,1556,1102,2658
"District Judge, 339th Judicial District",0645,2145,769,2914,4517,64.51%,1145,1609,2754
"District Judge, 339th Judicial District",0646,925,399,1324,2422,54.67%,320,933,1253
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0647,1372,526,1898,4349,43.64%,392,1376,1768
"District Judge, 339th Judicial District",0648,1859,500,2359,3487,67.65%,1606,663,2269
"District Judge, 339th Judicial District",0649,1549,775,2324,4755,48.87%,554,1648,2202
"District Judge, 339th Judicial District",0650,2033,819,2852,4039,70.61%,1864,867,2731
"District Judge, 339th Judicial District",0651,1734,551,2285,3873,59.00%,1174,1007,2181
"District Judge, 339th Judicial District",0652,1165,545,1710,2979,57.40%,254,1404,1658
"District Judge, 339th Judicial District",0653,185,110,295,604,48.84%,67,214,281
"District Judge, 339th Judicial District",0654,2381,698,3079,5063,60.81%,1517,1404,2921
"District Judge, 339th Judicial District",0655,1959,761,2720,4495,60.51%,1424,1142,2566
"District Judge, 339th Judicial District",0656,1106,401,1507,2737,55.06%,69,1391,1460
"District Judge, 339th Judicial District",0657,683,276,959,1487,64.49%,313,595,908
"District Judge, 339th Judicial District",0658,1299,494,1793,2901,61.81%,1066,659,1725
"District Judge, 339th Judicial District",0659,2806,733,3539,5161,68.57%,2378,1002,3380
"District Judge, 339th Judicial District",0660,1575,345,1920,3087,62.20%,179,1680,1859
"District Judge, 339th Judicial District",0661,1945,774,2720,4363,62.34%,1293,1286,2579
"District Judge, 339th Judicial District",0662,2267,571,2838,4002,70.91%,2253,478,2731
"District Judge, 339th Judicial District",0663,1338,448,1786,2340,76.32%,870,770,1640
"District Judge, 339th Judicial District",0664,909,513,1422,2992,47.53%,257,1089,1346
"District Judge, 339th Judicial District",0665,1327,360,1687,2354,71.67%,1318,299,1617
"District Judge, 339th Judicial District",0666,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0667,1109,400,1509,2175,69.38%,1089,346,1435
"District Judge, 339th Judicial District",0668,1552,719,2271,3669,61.90%,1319,863,2182
"District Judge, 339th Judicial District",0669,1889,702,2591,3585,72.27%,1698,769,2467
"District Judge, 339th Judicial District",0670,1996,416,2412,3335,72.32%,1839,464,2303
"District Judge, 339th Judicial District",0671,1398,588,1986,3198,62.10%,1044,854,1898
"District Judge, 339th Judicial District",0672,1724,489,2213,3433,64.46%,1482,656,2138
"District Judge, 339th Judicial District",0673,1525,467,2092,3051,68.57%,1631,381,2012
"District Judge, 339th Judicial District",0674,2354,610,2964,4228,70.10%,2086,760,2846
"District Judge, 339th Judicial District",0675,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0676,1087,465,1552,2976,52.15%,561,909,1470
"District Judge, 339th Judicial District",0677,423,259,682,1300,52.46%,154,478,632
"District Judge, 339th Judicial District",0678,1164,294,1458,2660,54.81%,139,1266,1405
"District Judge, 339th Judicial District",0679,1718,529,2247,3542,63.44%,1522,605,2127
"District Judge, 339th Judicial District",0680,98,17,115,179,64.25%,47,64,111
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0681,e,0,6,4,150.00%,4,2,6
"District Judge, 339th Judicial District",0682,2112,690,2802,4313,64.97%,1975,720,2695
"District Judge, 339th Judicial District",0683,82,5,87,302,28.81%,19,64,83
"District Judge, 339th Judicial District",0684,1580,640,2320,3559,65.19%,1377,834,2211
"District Judge, 339th Judicial District",0685,139,28,167,285,58.60%,79,70,149
"District Judge, 339th Judicial District",0686,53,5,58,221,26.24%,15,41,56
"District Judge, 339th Judicial District",0687,1510,400,1910,2713,70.40%,1207,589,1796
"District Judge, 339th Judicial District",0688,2333,594,2927,3922,74.63%,2243,579,2822
"District Judge, 339th Judicial District",0689,725,604,1330,2449,54.31%,536,701,1237
"District Judge, 339th Judicial District",0690,1957,553,2520,3614,69.73%,1881,525,2406
"District Judge, 339th Judicial District",0691,2131,551,2682,3690,72.68%,2013,574,2587
"District Judge, 339th Judicial District",0692,1278,678,1956,3118,62.73%,1332,520,1852
"District Judge, 339th Judicial District",0693,309,110,419,681,61.53%,107,289,396
"District Judge, 339th Judicial District",0694,1005,319,1324,2478,53.43%,511,760,1271
"District Judge, 339th Judicial District",0695,628,315,943,1842,51.19%,545,342,887
"District Judge, 339th Judicial District",0696,723,312,1035,2027,51.06%,599,401,1000
"District Judge, 339th Judicial District",0697,1299,552,1851,3238,57.16%,429,1341,1770
"District Judge, 339th Judicial District",0698,1275,520,1795,3339,53.76%,197,1532,1729
"District Judge, 339th Judicial District",0699,1276,398,1674,2387,70.13%,1011,546,1557
"District Judge, 339th Judicial District",0700,726,247,973,1536,63.35%,794,141,935
"District Judge, 339th Judicial District",0701,208,73,281,614,45.77%,113,145,258
"District Judge, 339th Judicial District",0702,183,69,252,550,45.82%,30,211,241
"District Judge, 339th Judicial District",0703,899,528,1427,1943,73.44%,973,383,1356
"District Judge, 339th Judicial District",0704,1698,512,2210,3121,70.81%,1756,372,2128
"District Judge, 339th Judicial District",0705,331,206,537,1513,35.49%,53,470,523
"District Judge, 339th Judicial District",0706,1248,372,1520,2821,57.43%,573,941,1514
"District Judge, 339th Judicial District",0707,377,69,446,757,58.92%,261,159,420
"District Judge, 339th Judicial District",0708,162,98,260,592,43.92%,76,174,250
"District Judge, 339th Judicial District",0709,2257,528,2785,4136,67.34%,1432,1239,2671
"District Judge, 339th Judicial District",0710,1132,450,1582,2096,75.48%,838,624,1462
"District Judge, 339th Judicial District",0711,1978,599,2577,3820,67.46%,1274,1177,2451
"District Judge, 339th Judicial District",0712,1720,627,2347,4002,58.65%,807,1465,2272
"District Judge, 339th Judicial District",0713,770,365,1135,2006,56.58%,516,567,1083
"District Judge, 339th Judicial District",0714,102,28,130,306,42.48%,58,64,122
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0715,553,239,792,1549,51.13%,361,389,750
"District Judge, 339th Judicial District",0716,1215,419,1635,2720,60.11%,1122,446,1568
"District Judge, 339th Judicial District",0717,974,232,1206,2082,57.93%,152,1004,1156
"District Judge, 339th Judicial District",0718,2243,872,3115,4412,70.60%,1941,983,2924
"District Judge, 339th Judicial District",0719,624,223,847,1644,51.52%,404,394,798
"District Judge, 339th Judicial District",0720,2498,709,3207,4709,68.10%,2093,962,3055
"District Judge, 339th Judicial District",0721,1455,503,2059,2926,70.71%,1272,668,1940
"District Judge, 339th Judicial District",0722,1929,609,2538,4638,54.72%,153,2293,2446
"District Judge, 339th Judicial District",0723,897,261,1158,1959,59.11%,210,899,1109
"District Judge, 339th Judicial District",0724,395,146,541,800,67.63%,349,166,515
"District Judge, 339th Judicial District",0725,976,294,1270,2336,54.37%,480,712,1192
"District Judge, 339th Judicial District",0726,1271,321,1592,2207,72.13%,1355,185,1540
"District Judge, 339th Judicial District",0727,981,415,1396,2708,51.55%,355,990,1345
"District Judge, 339th Judicial District",0728,399,198,597,942,63.38%,345,218,563
"District Judge, 339th Judicial District",0729,235,49,284,471,60.30%,156,117,273
"District Judge, 339th Judicial District",0730,1360,406,1766,2435,72.53%,1087,575,1662
"District Judge, 339th Judicial District",0731,2087,624,2711,4834,56.08%,1086,1506,2592
"District Judge, 339th Judicial District",0732,791,449,1240,1943,63.82%,693,472,1165
"District Judge, 339th Judicial District",0733,55,25,80,303,26.40%,25,52,77
"District Judge, 339th Judicial District",0734,2307,556,2863,4294,66.67%,1818,932,2750
"District Judge, 339th Judicial District",0735,157,61,218,251,86.85%,113,96,209
"District Judge, 339th Judicial District",0736,14,3,17,42,40.48%,0,13,13
"District Judge, 339th Judicial District",0737,21,6,27,56,48.21%,20,7,27
"District Judge, 339th Judicial District",0738,435,214,649,1497,43.35%,100,531,631
"District Judge, 339th Judicial District",0739,978,440,1418,2971,47.73%,599,752,1351
"District Judge, 339th Judicial District",0740,280,169,449,1005,44.68%,220,203,423
"District Judge, 339th Judicial District",0741,923,262,1185,1895,62.53%,283,837,1120
"District Judge, 339th Judicial District",0742,1532,498,2030,2859,71.00%,1231,703,1934
"District Judge, 339th Judicial District",0743,54,60,114,234,48.72%,36,69,105
"District Judge, 339th Judicial District",0744,1009,444,1453,2103,69.09%,816,558,1374
"District Judge, 339th Judicial District",0745,1213,446,1659,2543,65.24%,972,599,1571
"District Judge, 339th Judicial District",0746,244,121,365,732,49.86%,162,174,336
"District Judge, 339th Judicial District",0747,1746,693,2439,4096,59.55%,1031,1290,2321
"District Judge, 339th Judicial District",0748,563,245,808,1556,51.93%,377,396,773
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0749,115,1,116,432,26.85%,16,93,109
"District Judge, 339th Judicial District",0750,294,122,416,809,51.42%,222,168,390
"District Judge, 339th Judicial District",0751,2931,1013,3944,5893,66.93%,2337,1428,3765
"District Judge, 339th Judicial District",0752,659,227,886,1484,59.70%,572,268,840
"District Judge, 339th Judicial District",0753,258,53,311,512,60.74%,121,175,296
"District Judge, 339th Judicial District",0754,386,262,648,1590,40.75%,30,599,629
"District Judge, 339th Judicial District",0755,1782,955,2737,5015,54.58%,891,1698,2589
"District Judge, 339th Judicial District",0756,687,309,996,1723,57.81%,309,635,944
"District Judge, 339th Judicial District",0757,1867,601,2468,4792,51.50%,374,2013,2387
"District Judge, 339th Judicial District",0758,2104,595,2699,3803,70.97%,2008,566,2574
"District Judge, 339th Judicial District",0759,1389,375,1764,2779,63.48%,1008,668,1676
"District Judge, 339th Judicial District",0760,1219,268,1487,2162,68.78%,1182,241,1423
"District Judge, 339th Judicial District",0761,1088,167,1255,1598,78.54%,860,321,1181
"District Judge, 339th Judicial District",0762,924,303,1227,1828,67.12%,541,626,1167
"District Judge, 339th Judicial District",0763,370,264,634,1249,50.76%,183,412,595
"District Judge, 339th Judicial District",0764,2472,677,3149,4827,65.24%,1846,1143,2989
"District Judge, 339th Judicial District",0765,2051,874,2925,5742,50.94%,749,2059,2808
"District Judge, 339th Judicial District",0766,126,59,185,428,43.22%,26,138,164
"District Judge, 339th Judicial District",0767,31,15,46,92,50.00%,18,25,43
"District Judge, 339th Judicial District",0768,1479,387,1866,2643,70.60%,1418,364,1782
"District Judge, 339th Judicial District",0769,85,14,99,184,53.80%,6,91,97
"District Judge, 339th Judicial District",0770,103,42,145,388,37.37%,45,94,139
"District Judge, 339th Judicial District",0771,572,210,782,1588,49.24%,327,416,743
"District Judge, 339th Judicial District",0772,2805,477,3282,4606,71.25%,2356,770,3126
"District Judge, 339th Judicial District",0773,1693,638,2331,4414,52.81%,544,1626,2170
"District Judge, 339th Judicial District",0774,150,66,216,426,50.70%,54,156,210
"District Judge, 339th Judicial District",0775,50,1,51,102,50.00%,1,49,50
"District Judge, 339th Judicial District",0776,1432,538,1970,3276,60.13%,1082,798,1880
"District Judge, 339th Judicial District",0777,201,105,306,767,39.90%,74,221,295
"District Judge, 339th Judicial District",0778,0,3,3,0,0.00%,0,3,3
"District Judge, 339th Judicial District",0779,263,160,423,1019,41.51%,96,287,383
"District Judge, 339th Judicial District",0780,170,130,300,666,45.05%,93,184,277
"District Judge, 339th Judicial District",0781,1235,612,1847,3782,48.84%,557,1140,1697
"District Judge, 339th Judicial District",0782,1048,368,1416,2355,60.13%,821,513,1334
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0783,197,90,287,520,55.19%,18,258,276
"District Judge, 339th Judicial District",0784,408,119,527,1062,49.62%,14,496,510
"District Judge, 339th Judicial District",0785,1229,357,1586,1896,83.65%,799,713,1512
"District Judge, 339th Judicial District",0786,396,177,573,1258,45.55%,170,370,540
"District Judge, 339th Judicial District",0787,180,83,263,542,48.52%,75,171,246
"District Judge, 339th Judicial District",0788,2,0,2,13,15.38%,2,0,2
"District Judge, 339th Judicial District",0789,1377,420,1797,2998,59.94%,1019,709,1728
"District Judge, 339th Judicial District",0790,1143,329,1472,2523,58.34%,486,927,1413
"District Judge, 339th Judicial District",0791,9,3,12,29,41.38%,2,10,12
"District Judge, 339th Judicial District",0792,648,415,1063,1954,54.40%,237,771,1008
"District Judge, 339th Judicial District",0793,984,416,1400,2620,53.44%,691,634,1325
"District Judge, 339th Judicial District",0794,626,411,1037,3208,32.33%,98,899,997
"District Judge, 339th Judicial District",0795,396,2,398,1281,31.07%,111,259,370
"District Judge, 339th Judicial District",0796,1371,465,1835,3041,60.37%,738,1034,1772
"District Judge, 339th Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0798,222,142,364,521,69.87%,128,213,341
"District Judge, 339th Judicial District",0799,58,26,84,171,49.12%,13,70,83
"District Judge, 339th Judicial District",0800,1934,730,2664,4216,63.19%,1573,964,2537
"District Judge, 339th Judicial District",0801,90,44,134,261,51.34%,45,83,128
"District Judge, 339th Judicial District",0802,54,21,75,224,33.48%,18,53,71
"District Judge, 339th Judicial District",0803,2655,547,3212,4514,71.16%,2170,902,3072
"District Judge, 339th Judicial District",0804,2703,682,3385,5303,63.83%,1736,1520,3256
"District Judge, 339th Judicial District",0805,1597,454,2051,2874,71.36%,1563,398,1961
"District Judge, 339th Judicial District",0806,1001,324,1325,1889,70.14%,789,487,1276
"District Judge, 339th Judicial District",0807,792,349,1141,2163,52.75%,186,915,1101
"District Judge, 339th Judicial District",0808,142,57,199,232,85.78%,75,110,185
"District Judge, 339th Judicial District",0809,19,7,26,98,26.53%,13,12,25
"District Judge, 339th Judicial District",0810,47,31,78,197,39.59%,9,62,71
"District Judge, 339th Judicial District",0811,82,68,150,277,54.15%,33,111,144
"District Judge, 339th Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0813,1742,434,2176,3488,62.39%,939,1155,2094
"District Judge, 339th Judicial District",0814,1968,827,2795,5483,50.98%,530,2159,2689
"District Judge, 339th Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0816,23,10,33,64,51.56%,4,27,31
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0817,2787,550,3337,4700,71.00%,2312,913,3225
"District Judge, 339th Judicial District",0818,208,104,312,737,42.33%,65,235,300
"District Judge, 339th Judicial District",0819,108,31,139,228,60.96%,67,57,124
"District Judge, 339th Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0821,362,188,550,1295,42.47%,65,457,522
"District Judge, 339th Judicial District",0822,571,185,756,1574,48.03%,26,699,725
"District Judge, 339th Judicial District",0823,1339,410,1749,3017,57.97%,902,767,1669
"District Judge, 339th Judicial District",0824,1057,410,1467,2762,53.11%,306,1101,1407
"District Judge, 339th Judicial District",0825,9,7,15,21,76.19%,3,11,14
"District Judge, 339th Judicial District",0826,177,70,247,355,69.58%,123,102,225
"District Judge, 339th Judicial District",0827,218,234,452,1042,43.38%,145,291,436
"District Judge, 339th Judicial District",0828,1174,281,1455,1965,74.05%,1086,297,1383
"District Judge, 339th Judicial District",0829,101,19,120,235,51.06%,33,82,115
"District Judge, 339th Judicial District",0830,2,2,4,2,200.00%,4,0,4
"District Judge, 339th Judicial District",0831,8,5,13,36,36.11%,6,6,12
"District Judge, 339th Judicial District",0832,124,50,174,364,47.80%,41,123,164
"District Judge, 339th Judicial District",0833,3,2,5,20,25.00%,1,4,5
"District Judge, 339th Judicial District",0834,142,61,203,388,52.32%,21,179,200
"District Judge, 339th Judicial District",0835,87,71,158,311,50.80%,39,112,151
"District Judge, 339th Judicial District",0836,128,0,128,248,51.61%,11,107,118
"District Judge, 339th Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0839,419,174,593,1190,49.83%,123,444,567
"District Judge, 339th Judicial District",0840,829,228,1057,1780,59.38%,336,667,1003
"District Judge, 339th Judicial District",0841,1473,475,1948,3431,56.78%,437,1446,1883
"District Judge, 339th Judicial District",0842,1338,513,1851,3390,54.60%,697,1056,1753
"District Judge, 339th Judicial District",0843,595,298,893,1387,64.38%,153,698,851
"District Judge, 339th Judicial District",0844,4,0,4,10,40.00%,0,4,4
"District Judge, 339th Judicial District",0845,151,13,164,218,75.23%,98,57,155
"District Judge, 339th Judicial District",0846,61,22,83,229,36.24%,2,80,82
"District Judge, 339th Judicial District",0847,993,330,1323,2310,57.27%,341,928,1269
"District Judge, 339th Judicial District",0848,1011,201,1212,1875,64.64%,367,781,1148
"District Judge, 339th Judicial District",0849,731,455,1186,2272,52.20%,307,783,1090
"District Judge, 339th Judicial District",0850,129,19,148,208,71.15%,56,86,142
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0851,1885,441,2326,3597,64.66%,1508,709,2217
"District Judge, 339th Judicial District",0852,0,0,0,1,0.00%,0,0,0
"District Judge, 339th Judicial District",0853,1637,487,2124,2986,71.13%,1550,485,2035
"District Judge, 339th Judicial District",0854,40,19,59,175,33.71%,8,49,57
"District Judge, 339th Judicial District",0855,7,2,9,21,42.86%,4,4,8
"District Judge, 339th Judicial District",0856,0,3,3,0,0.00%,0,1,1
"District Judge, 339th Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 339th Judicial District",0858,121,35,156,334,46.71%,4,143,147
"District Judge, 339th Judicial District",0859,391,143,534,945,56.51%,114,395,509
"District Judge, 339th Judicial District",0860,1,1,2,0,0.00%,0,2,2
"District Judge, 339th Judicial District",0861,777,272,1049,1941,54.04%,157,857,1014
"District Judge, 339th Judicial District",0862,1989,508,2497,3739,66.78%,1430,965,2395
"District Judge, 339th Judicial District",0863,192,64,256,581,44.06%,12,238,250
"District Judge, 339th Judicial District",0864,693,574,1267,2708,46.79%,279,911,1190
"District Judge, 339th Judicial District",0865,9,2,11,21,52.38%,1,10,11
"District Judge, 339th Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0868,736,495,1231,2446,50.33%,304,863,1167
"District Judge, 339th Judicial District",0869,165,55,220,480,45.83%,27,187,214
"District Judge, 339th Judicial District",0870,0,2,2,0,0.00%,2,0,2
"District Judge, 339th Judicial District",0871,2,1,3,3,100.00%,1,2,3
"District Judge, 339th Judicial District",0872,16,6,22,68,32.35%,12,10,22
"District Judge, 339th Judicial District",0873,296,111,407,778,52.31%,90,305,395
"District Judge, 339th Judicial District",0874,1681,670,2351,3294,71.37%,1652,591,2243
"District Judge, 339th Judicial District",0875,1947,501,2448,3592,68.15%,1127,1227,2354
"District Judge, 339th Judicial District",0876,1945,577,2522,3485,72.37%,1719,702,2421
"District Judge, 339th Judicial District",0877,1803,528,2331,3651,63.85%,876,1376,2252
"District Judge, 339th Judicial District",0878,685,110,795,1039,76.52%,622,140,762
"District Judge, 339th Judicial District",0879,1215,413,1628,2843,57.26%,665,892,1557
"District Judge, 339th Judicial District",0880,1354,471,1825,2467,73.98%,1330,427,1757
"District Judge, 339th Judicial District",0881,2465,927,3392,5638,60.16%,857,2418,3275
"District Judge, 339th Judicial District",0882,1952,595,2547,4317,59.00%,731,1702,2433
"District Judge, 339th Judicial District",0883,2252,928,3180,5613,56.65%,523,2529,3052
"District Judge, 339th Judicial District",0884,149,55,204,396,51.52%,29,170,199
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0885,1570,323,1893,2811,67.34%,1044,783,1827
"District Judge, 339th Judicial District",0886,495,152,647,906,71.41,%,333,258,591
"District Judge, 339th Judicial District",0887,234,95,329,492,66.87%,168,128,296
"District Judge, 339th Judicial District",0888,817,289,1106,1867,59.24%,350,712,1062
"District Judge, 339th Judicial District",0889,113,28,141,238,59.24%,38,95,133
"District Judge, 339th Judicial District",0890,445,98,543,1214,44.73%,211,289,500
"District Judge, 339th Judicial District",0891,753,194,947,1376,68.82%,327,568,895
"District Judge, 339th Judicial District",0892,420,123,543,900,60.33%,176,329,505
"District Judge, 339th Judicial District",0893,1,4,5,9,55.56%,2,3,5
"District Judge, 339th Judicial District",0894,801,305,1106,2087,52.99%,145,918,1063
"District Judge, 339th Judicial District",0895,417,252,669,834,80.22%,275,338,613
"District Judge, 339th Judicial District",0896,838,254,1092,1467,74.44%,359,662,1021
"District Judge, 339th Judicial District",0897,812,365,1177,1766,66.65%,606,508,1114
"District Judge, 339th Judicial District",0898,792,301,1093,1821,60.02%,424,631,1055
"District Judge, 339th Judicial District",0899,745,165,911,1264,72.07%,557,328,885
"District Judge, 339th Judicial District",0900,7,0,7,12,58.33%,1,6,7
"District Judge, 339th Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0902,1310,361,1671,2217,75.37%,823,720,1543
"District Judge, 339th Judicial District",0903,1314,354,1668,2558,65.21%,1199,410,1609
"District Judge, 339th Judicial District",0904,2,0,2,8,25.00%,1,1,2
"District Judge, 339th Judicial District",0905,390,136,526,946,55.60%,183,319,502
"District Judge, 339th Judicial District",0906,19,3,22,28,78.57%,14,8,22
"District Judge, 339th Judicial District",0907,53,37,90,201,44.78%,8,80,88
"District Judge, 339th Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0909,7,1,8,21,38.10%,2,5,7
"District Judge, 339th Judicial District",0910,78,37,115,236,48.73%,34,73,107
"District Judge, 339th Judicial District",0911,237,63,300,576,52.08%,188,103,291
"District Judge, 339th Judicial District",0912,712,167,879,1341,65.55%,496,333,829
"District Judge, 339th Judicial District",0913,102,12,114,241,47.30%,21,89,110
"District Judge, 339th Judicial District",0914,42,0,42,124,33.87%,9,31,40
"District Judge, 339th Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0916,1472,308,1780,2205,80.73%,1329,371,1700
"District Judge, 339th Judicial District",0917,33,9,42,147,28.57%,4,33,37
"District Judge, 339th Judicial District",0918,3,1,4,7,57.14%,1,3,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0919,1,0,1,1,100.00%,0,1,1
"District Judge, 339th Judicial District",0920,41,13,54,79,68.35%,31,21,52
"District Judge, 339th Judicial District",0921,27,6,33,61,54.10%,7,26,33
"District Judge, 339th Judicial District",0922,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0923,2331,350,2681,3536,75.82%,1982,631,2613
"District Judge, 339th Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0926,550,149,699,967,72.29%,469,198,667
"District Judge, 339th Judicial District",0927,966,173,1139,1771,64.31%,545,518,1063
"District Judge, 339th Judicial District",0928,4,1,5,7,71.43%,0,5,5
"District Judge, 339th Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0930,217,83,300,606,49.50%,15,271,286
"District Judge, 339th Judicial District",0931,87,28,115,141,81.56%,49,56,105
"District Judge, 339th Judicial District",0932,0,1,1,0,0.00%,0,1,1
"District Judge, 339th Judicial District",0933,297,93,390,668,58.38%,123,254,377
"District Judge, 339th Judicial District",0934,9,4,13,37,35.14%,7,6,13
"District Judge, 339th Judicial District",0935,12,9,21,55,38.18%,9,11,20
"District Judge, 339th Judicial District",0936,23,9,32,76,42.11%,8,20,28
"District Judge, 339th Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0938,72,19,91,255,35.69%,26,65,91
"District Judge, 339th Judicial District",0939,1,1,2,4,50.00%,1,1,2
"District Judge, 339th Judicial District",0940,9,3,12,28,42.86%,1,11,12
"District Judge, 339th Judicial District",0941,284,144,428,870,49.20%,202,199,401
"District Judge, 339th Judicial District",0942,102,16,118,152,77.63%,78,38,116
"District Judge, 339th Judicial District",0943,192,28,220,774,28.42%,47,159,206
"District Judge, 339th Judicial District",0944,1,0,1,1,100.00%,0,1,1
"District Judge, 339th Judicial District",0945,8,6,14,21,66.67%,1,13,14
"District Judge, 339th Judicial District",0946,4,2,6,14,42.86%,1,5,6
"District Judge, 339th Judicial District",0947,428,198,626,820,76.34%,307,275,582
"District Judge, 339th Judicial District",0948,0,0,0,1,0.00%,0,0,0
"District Judge, 339th Judicial District",0949,84,61,145,210,69.05%,68,67,135
"District Judge, 339th Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0951,114,62,176,304,57.89%,39,126,165
"District Judge, 339th Judicial District",0952,32,15,47,65,72.31%,26,19,45
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0953,4,0,4,8,50.00%,0,4,4
"District Judge, 339th Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0955,3528,572,4100,5108,80.27%,2813,1090,3903
"District Judge, 339th Judicial District",0956,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0957,282,39,321,585,54.87%,39,269,308
"District Judge, 339th Judicial District",0958,430,231,661,1202,54.99%,113,516,629
"District Judge, 339th Judicial District",0959,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0960,829,235,1064,1471,72.33%,218,808,1026
"District Judge, 339th Judicial District",0961,820,318,1138,2369,48.04%,173,915,1088
"District Judge, 339th Judicial District",0962,33,12,45,88,51.14%,9,33,42
"District Judge, 339th Judicial District",0963,225,91,316,528,59.85%,126,168,294
"District Judge, 339th Judicial District",0964,2145,325,2470,3179,77.70%,1392,976,2368
"District Judge, 339th Judicial District",0965,101,35,136,345,39.42%,88,40,128
"District Judge, 339th Judicial District",0966,368,189,557,1332,41.82%,128,390,518
"District Judge, 339th Judicial District",0967,82,24,106,186,56.99%,39,62,101
"District Judge, 339th Judicial District",0968,455,127,582,906,64.24%,121,440,561
"District Judge, 339th Judicial District",0969,299,71,370,624,59.29%,9,350,359
"District Judge, 339th Judicial District",0970,223,102,325,810,40.12%,30,273,303
"District Judge, 339th Judicial District",0971,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0972,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0973,504,138,642,999,64.26%,412,199,611
"District Judge, 339th Judicial District",0974,0,1,1,0,0.00%,1,0,1
"District Judge, 339th Judicial District",0975,104,26,130,190,68.42%,54,66,120
