Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0632,4,1,5,241,2.07%,0,5,5
"District Judge, 351 st Judicial District",0633,2285,601,2887,3912,73.80%,1937,826,2763
"District Judge, 351 st Judicial District",0634,1435,499,1934,3259,59.34%,1071,783,1854
"District Judge, 351 st Judicial District",0635,1645,520,2165,3512,61.65%,1572,489,2061
"District Judge, 351 st Judicial District",0636,2303,922,3225,4569,70.58%,2742,356,3098
"District Judge, 351 st Judicial District",0637,1095,423,1518,2591,58.59%,312,1076,1388
"District Judge, 351 st Judicial District",0638,850,348,1198,2310,51.86%,100,1064,1164
"District Judge, 351 st Judicial District",0639,1385,284,1670,2560,65.23%,1261,334,1595
"District Judge, 351 st Judicial District",0640,1619,615,2234,3927,56.89%,1223,920,2143
"District Judge, 351 st Judicial District",0641,1637,683,2320,3840,60.42%,1326,890,2216
"District Judge, 351 st Judicial District",0642,1030,270,1300,1783,72.91%,1000,248,1248
"District Judge, 351 st Judicial District",0643,1948,593,2541,4189,60.66%,1161,1280,2441
"District Judge, 351 st Judicial District",0644,2087,689,2776,4446,62.44%,1565,1088,2653
"District Judge, 351 st Judicial District",0645,2145,769,2914,4517,64.51%,1164,1593,2757
"District Judge, 351 st Judicial District",0646,925,399,1324,2422,54.67%,328,921,1249
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0647,1372,526,1898,4349,43.64%,386,1381,1767
"District Judge, 351 st Judicial District",0648,1859,500,2359,3487,67.65%,1626,643,2269
"District Judge, 351 st Judicial District",0649,1549,775,2324,4755,48.87%,554,1654,2208
"District Judge, 351 st Judicial District",0650,2033,819,2852,4039,70.61%,1909,820,2729
"District Judge, 351 st Judicial District",0651,1734,551,2285,3873,59.00%,1187,996,2183
"District Judge, 351 st Judicial District",0652,1165,545,1710,2979,57.40%,265,1388,1653
"District Judge, 351 st Judicial District",0653,185,110,295,604,48.84%,64,218,282
"District Judge, 351 st Judicial District",0654,2381,698,3079,5063,60.81%,1522,1392,2914
"District Judge, 351 st Judicial District",0655,1959,761,2720,4495,60.51%,1432,1131,2563
"District Judge, 351 st Judicial District",0656,1106,401,1507,2737,55.06%,74,1386,1460
"District Judge, 351 st Judicial District",0657,683,276,959,1487,64.49%,320,588,908
"District Judge, 351 st Judicial District",0658,1299,494,1793,2901,61.81%,1085,639,1724
"District Judge, 351 st Judicial District",0659,2806,733,3539,5161,68.57%,2379,1000,3379
"District Judge, 351 st Judicial District",0660,1575,345,1920,3087,62.20%,180,1678,1858
"District Judge, 351 st Judicial District",0661,1945,774,2720,4363,62.34%,1302,1270,2572
"District Judge, 351 st Judicial District",0662,2267,571,2838,4002,70.91%,2252,477,2729
"District Judge, 351 st Judicial District",0663,1338,448,1786,2340,76.32%,920,716,1636
"District Judge, 351 st Judicial District",0664,909,513,1422,2992,47.53%,254,1091,1345
"District Judge, 351 st Judicial District",0665,1327,360,1687,2354,71.67%,1320,298,1618
"District Judge, 351 st Judicial District",0666,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0667,1109,400,1509,2175,69.38%,1104,331,1435
"District Judge, 351 st Judicial District",0668,1552,719,2271,3669,61.90%,1326,854,2180
"District Judge, 351 st Judicial District",0669,1889,702,2591,3585,72.27%,1730,742,2472
"District Judge, 351 st Judicial District",0670,1996,416,2412,3335,72.32%,1889,413,2302
"District Judge, 351 st Judicial District",0671,1398,588,1986,3198,62.10%,1049,849,1898
"District Judge, 351 st Judicial District",0672,1724,489,2213,3433,64.46%,1490,650,2140
"District Judge, 351 st Judicial District",0673,1525,467,2092,3051,68.57%,1636,373,2009
"District Judge, 351 st Judicial District",0674,2354,610,2964,4228,70.10%,2103,743,2846
"District Judge, 351 st Judicial District",0675,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0676,1087,465,1552,2976,52.15%,565,907,1472
"District Judge, 351 st Judicial District",0677,423,259,682,1300,52.46%,157,471,628
"District Judge, 351 st Judicial District",0678,1164,294,1458,2660,54.81%,139,1265,1404
"District Judge, 351 st Judicial District",0679,1718,529,2247,3542,63.44%,1514,615,2129
"District Judge, 351 st Judicial District",0680,98,17,115,179,64.25%,45,66,111
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0681,e,0,6,4,150.00%,3,3,6
"District Judge, 351 st Judicial District",0682,2112,690,2802,4313,64.97%,1971,724,2695
"District Judge, 351 st Judicial District",0683,82,5,87,302,28.81%,22,61,83
"District Judge, 351 st Judicial District",0684,1580,640,2320,3559,65.19%,1397,815,2212
"District Judge, 351 st Judicial District",0685,139,28,167,285,58.60%,76,71,147
"District Judge, 351 st Judicial District",0686,53,5,58,221,26.24%,17,39,56
"District Judge, 351 st Judicial District",0687,1510,400,1910,2713,70.40%,1234,568,1802
"District Judge, 351 st Judicial District",0688,2333,594,2927,3922,74.63%,2265,555,2820
"District Judge, 351 st Judicial District",0689,725,604,1330,2449,54.31%,540,698,1238
"District Judge, 351 st Judicial District",0690,1957,553,2520,3614,69.73%,1891,512,2403
"District Judge, 351 st Judicial District",0691,2131,551,2682,3690,72.68%,2020,566,2586
"District Judge, 351 st Judicial District",0692,1278,678,1956,3118,62.73%,1333,519,1852
"District Judge, 351 st Judicial District",0693,309,110,419,681,61.53%,113,283,396
"District Judge, 351 st Judicial District",0694,1005,319,1324,2478,53.43%,515,756,1271
"District Judge, 351 st Judicial District",0695,628,315,943,1842,51.19%,535,351,886
"District Judge, 351 st Judicial District",0696,723,312,1035,2027,51.06%,602,401,1003
"District Judge, 351 st Judicial District",0697,1299,552,1851,3238,57.16%,437,1335,1772
"District Judge, 351 st Judicial District",0698,1275,520,1795,3339,53.76%,210,1520,1730
"District Judge, 351 st Judicial District",0699,1276,398,1674,2387,70.13%,1054,503,1557
"District Judge, 351 st Judicial District",0700,726,247,973,1536,63.35%,799,137,936
"District Judge, 351 st Judicial District",0701,208,73,281,614,45.77%,114,144,258
"District Judge, 351 st Judicial District",0702,183,69,252,550,45.82%,38,205,243
"District Judge, 351 st Judicial District",0703,899,528,1427,1943,73.44%,1009,344,1353
"District Judge, 351 st Judicial District",0704,1698,512,2210,3121,70.81%,1761,366,2127
"District Judge, 351 st Judicial District",0705,331,206,537,1513,35.49%,54,470,524
"District Judge, 351 st Judicial District",0706,1248,372,1620,2821,57.43%,563,945,1508
"District Judge, 351 st Judicial District",0707,377,69,446,757,58.92%,265,156,421
"District Judge, 351 st Judicial District",0708,162,98,260,592,43.92%,80,166,246
"District Judge, 351 st Judicial District",0709,2257,528,2785,4136,67.34%,1438,1227,2665
"District Judge, 351 st Judicial District",0710,1132,450,1582,2096,75.48%,868,588,1456
"District Judge, 351 st Judicial District",0711,1978,599,2577,3820,67.46%,1325,1124,2449
"District Judge, 351 st Judicial District",0712,1720,627,2347,4002,58.65%,805,1463,2268
"District Judge, 351 st Judicial District",0713,770,365,1135,2006,56.58%,513,569,1082
"District Judge, 351 st Judicial District",0714,102,28,130,306,42.48%,59,64,123
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0715,553,239,792,1549,51.13%,363,387,750
"District Judge, 351 st Judicial District",0716,1215,419,1635,2720,60.11%,1126,438,1564
"District Judge, 351 st Judicial District",0717,974,232,1206,2082,57.93%,160,998,1158
"District Judge, 351 st Judicial District",0718,2243,872,3115,4412,70.60%,1972,951,2923
"District Judge, 351 st Judicial District",0719,624,223,847,1644,51.52%,397,401,798
"District Judge, 351 st Judicial District",0720,2498,709,3207,4709,68.10%,2121,934,3055
"District Judge, 351 st Judicial District",0721,1455,603,2059,2926,70.71%,1310,628,1938
"District Judge, 351 st Judicial District",0722,1929,609,2538,4638,54.72%,162,2277,2439
"District Judge, 351 st Judicial District",0723,897,261,1158,1959,59.11%,215,894,1109
"District Judge, 351 st Judicial District",0724,395,146,541,800,67.63%,353,161,514
"District Judge, 351 st Judicial District",0725,976,294,1270,2336,54.37%,497,696,1193
"District Judge, 351 st Judicial District",0726,1271,321,1592,2207,72.13%,1350,190,1540
"District Judge, 351 st Judicial District",0727,981,415,1396,2708,51.55%,370,973,1343
"District Judge, 351 st Judicial District",0728,399,198,597,942,63.38%,343,218,561
"District Judge, 351 st Judicial District",0729,235,49,284,471,60.30%,157,116,273
"District Judge, 351 st Judicial District",0730,1360,406,1766,2435,72.53%,1118,541,1659
"District Judge, 351 st Judicial District",0731,2087,624,2711,4834,56.08%,1089,1506,2595
"District Judge, 351 st Judicial District",0732,791,449,1240,1943,63.82%,709,457,1166
"District Judge, 351 st Judicial District",0733,55,25,80,303,26.40%,27,50,77
"District Judge, 351 st Judicial District",0734,2307,556,2863,4294,66.67%,1820,927,2747
"District Judge, 351 st Judicial District",0735,157,61,218,251,86.85%,115,93,208
"District Judge, 351 st Judicial District",0736,14,3,17,42,40.48%,0,13,13
"District Judge, 351 st Judicial District",0737,21,6,27,56,48.21%,19,8,27
"District Judge, 351 st Judicial District",0738,435,214,649,1497,43.35%,105,526,631
"District Judge, 351 st Judicial District",0739,978,440,1418,2971,47.73%,597,748,1345
"District Judge, 351 st Judicial District",0740,280,169,449,1005,44.68%,223,198,421
"District Judge, 351 st Judicial District",0741,923,262,1185,1895,62.53%,290,829,1119
"District Judge, 351 st Judicial District",0742,1532,498,2030,2859,71.00%,1240,694,1934
"District Judge, 351 st Judicial District",0743,54,60,114,234,48.72%,34,72,106
"District Judge, 351 st Judicial District",0744,1009,444,1453,2103,69.09%,838,534,1372
"District Judge, 351 st Judicial District",0745,1213,446,1659,2543,65.24%,994,580,1574
"District Judge, 351 st Judicial District",0746,244,121,365,732,49.86%,172,164,336
"District Judge, 351 st Judicial District",0747,1746,693,2439,4096,59.55%,1030,1291,2321
"District Judge, 351 st Judicial District",0748,563,245,808,1556,51.93%,382,392,774
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0749,115,1,116,432,26.85%,16,94,110
"District Judge, 351 st Judicial District",0750,294,122,416,809,51.42%,218,169,387
"District Judge, 351 st Judicial District",0751,2931,1013,3944,5893,66.93%,2351,1417,3768
"District Judge, 351 st Judicial District",0752,659,227,886,1484,59.70%,574,267,841
"District Judge, 351 st Judicial District",0753,258,53,311,512,60.74%,120,174,294
"District Judge, 351 st Judicial District",0754,386,262,648,1590,40.75%,29,599,628
"District Judge, 351 st Judicial District",0755,1782,955,2737,5015,54.58%,901,1687,2588
"District Judge, 351 st Judicial District",0756,687,309,996,1723,57.81%,312,632,944
"District Judge, 351 st Judicial District",0757,1867,601,2468,4792,51.50%,393,1990,2383
"District Judge, 351 st Judicial District",0758,2104,595,2699,3803,70.97%,2004,565,2569
"District Judge, 351 st Judicial District",0759,1389,375,1764,2779,63.48%,995,679,1674
"District Judge, 351 st Judicial District",0760,1219,268,1487,2162,68.78%,1199,224,1423
"District Judge, 351 st Judicial District",0761,1088,167,1255,1598,78.54%,894,288,1182
"District Judge, 351 st Judicial District",0762,924,303,1227,1828,67.12%,543,624,1167
"District Judge, 351 st Judicial District",0763,370,264,634,1249,50.76%,180,413,593
"District Judge, 351 st Judicial District",0764,2472,677,3149,4827,65.24%,1844,1144,2988
"District Judge, 351 st Judicial District",0765,2051,874,2925,5742,50.94%,770,2038,2808
"District Judge, 351 st Judicial District",0766,126,59,185,428,43.22%,28,136,164
"District Judge, 351 st Judicial District",0767,31,15,46,92,50.00%,19,24,43
"District Judge, 351 st Judicial District",0768,1479,387,1866,2643,70.60%,1426,355,1781
"District Judge, 351 st Judicial District",0769,85,14,99,184,53.80%,8,89,97
"District Judge, 351 st Judicial District",0770,103,42,145,388,37.37%,44,95,139
"District Judge, 351 st Judicial District",0771,572,210,782,1588,49.24%,323,418,741
"District Judge, 351 st Judicial District",0772,2805,477,3282,4606,71.25%,2389,736,3125
"District Judge, 351 st Judicial District",0773,1693,638,2331,4414,52.81%,552,1619,2171
"District Judge, 351 st Judicial District",0774,150,66,216,426,50.70%,49,162,211
"District Judge, 351 st Judicial District",0775,50,1,51,102,50.00%,1,49,50
"District Judge, 351 st Judicial District",0776,1432,538,1970,3276,60.13%,1095,781,1876
"District Judge, 351 st Judicial District",0777,201,105,306,767,39.90%,69,225,294
"District Judge, 351 st Judicial District",0778,0,3,3,0,0.00%,0,3,3
"District Judge, 351 st Judicial District",0779,263,160,423,1019,41.51%,96,290,386
"District Judge, 351 st Judicial District",0780,170,130,300,666,45.05%,97,180,277
"District Judge, 351 st Judicial District",0781,1235,612,1847,3782,48.84%,561,1139,1700
"District Judge, 351 st Judicial District",0782,1048,368,1416,2355,60.13%,823,509,1332
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0783,197,90,287,520,55.19%,18,257,275
"District Judge, 351 st Judicial District",0784,408,119,527,1062,49.62%,14,495,509
"District Judge, 351 st Judicial District",0785,1229,357,1586,1896,83.65%,809,700,1509
"District Judge, 351 st Judicial District",0786,396,177,573,1258,45.55%,179,361,540
"District Judge, 351 st Judicial District",0787,180,83,263,542,48.52%,77,168,245
"District Judge, 351 st Judicial District",0788,2,0,2,13,15.38%,2,0,2
"District Judge, 351 st Judicial District",0789,1377,420,1797,2998,59.94%,1036,689,1725
"District Judge, 351 st Judicial District",0790,1143,329,1472,2523,58.34%,489,917,1406
"District Judge, 351 st Judicial District",0791,9,3,12,29,41.38%,3,9,12
"District Judge, 351 st Judicial District",0792,648,415,1063,1954,54.40%,235,770,1005
"District Judge, 351 st Judicial District",0793,984,416,1400,2620,53.44%,703,625,1328
"District Judge, 351 st Judicial District",0794,626,411,1037,3208,32.33%,99,899,998
"District Judge, 351 st Judicial District",0795,396,2,398,1281,31.07%,114,253,367
"District Judge, 351 st Judicial District",0796,1371,465,1836,3041,60.37%,740,1029,1769
"District Judge, 351 st Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0798,222,142,364,521,69.87%,134,206,340
"District Judge, 351 st Judicial District",0799,58,26,84,171,49.12%,14,69,83
"District Judge, 351 st Judicial District",0800,1934,730,2664,4216,63.19%,1599,941,2540
"District Judge, 351 st Judicial District",0801,90,44,134,261,51.34%,37,91,128
"District Judge, 351 st Judicial District",0802,54,21,75,224,33.48%,18,53,71
"District Judge, 351 st Judicial District",0803,2665,547,3212,4514,71.16%,2202,868,3070
"District Judge, 351 st Judicial District",0804,2703,682,3385,5303,63.83%,1753,1501,3254
"District Judge, 351 st Judicial District",0805,1597,454,2051,2874,71.36%,1578,384,1962
"District Judge, 351 st Judicial District",0806,1001,324,1325,1889,70.14%,788,486,1274
"District Judge, 351 st Judicial District",0807,792,349,1141,2163,52.75%,196,905,1101
"District Judge, 351 st Judicial District",0808,142,57,199,232,85.78%,69,116,185
"District Judge, 351 st Judicial District",0809,19,7,26,98,26.53%,11,14,25
"District Judge, 351 st Judicial District",0810,47,31,78,197,39.59%,12,59,71
"District Judge, 351 st Judicial District",0811,82,68,150,277,54.15%,34,111,145
"District Judge, 351 st Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0813,1742,434,2176,3488,62.39%,942,1155,2097
"District Judge, 351 st Judicial District",0814,1968,827,2795,5483,50.98%,552,2140,2692
"District Judge, 351 st Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0816,23,10,33,64,51.56%,5,26,31
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0817,2787,550,3337,4700,71.00%,2310,915,3225
"District Judge, 351 st Judicial District",0818,208,104,312,737,42.33%,68,230,298
"District Judge, 351 st Judicial District",0819,108,31,139,228,60.96%,69,55,124
"District Judge, 351 st Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0821,362,188,550,1295,42.47%,69,452,521
"District Judge, 351 st Judicial District",0822,571,185,756,1574,48.03%,25,700,725
"District Judge, 351 st Judicial District",0823,1339,410,1749,3017,57.97%,920,748,1668
"District Judge, 351 st Judicial District",0824,1057,410,1467,2762,53.11%,314,1095,1409
"District Judge, 351 st Judicial District",0825,9,7,16,21,76.19%,3,12,15
"District Judge, 351 st Judicial District",0826,177,70,247,355,69.58%,129,97,226
"District Judge, 351 st Judicial District",0827,218,234,452,1042,43.38%,142,294,436
"District Judge, 351 st Judicial District",0828,1174,281,1455,1965,74.05%,1101,284,1385
"District Judge, 351 st Judicial District",0829,101,19,120,235,51.06%,34,81,115
"District Judge, 351 st Judicial District",0830,2,2,4,2,200.00%,4,0,4
"District Judge, 351 st Judicial District",0831,8,5,13,36,36.11%,6,6,12
"District Judge, 351 st Judicial District",0832,124,50,174,364,47.80%,43,121,164
"District Judge, 351 st Judicial District",0833,3,2,5,20,25.00%,1,4,5
"District Judge, 351 st Judicial District",0834,142,61,203,388,52.32%,19,181,200
"District Judge, 351 st Judicial District",0835,87,71,158,311,50.80%,38,110,148
"District Judge, 351 st Judicial District",0836,128,0,128,248,51.61%,10,105,115
"District Judge, 351 st Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0839,419,174,593,1190,49.83%,123,445,568
"District Judge, 351 st Judicial District",0840,829,228,1057,1780,59.38%,339,665,1004
"District Judge, 351 st Judicial District",0841,1473,475,1948,3431,56.78%,443,1440,1883
"District Judge, 351 st Judicial District",0842,1338,513,1851,3390,54.60%,699,1047,1746
"District Judge, 351 st Judicial District",0843,595,298,893,1387,64.38%,159,690,849
"District Judge, 351 st Judicial District",0844,4,0,4,10,40.00%,0,4,4
"District Judge, 351 st Judicial District",0845,151,13,164,218,75.23%,100,54,154
"District Judge, 351 st Judicial District",0846,61,22,83,229,36.24%,1,81,82
"District Judge, 351 st Judicial District",0847,993,330,1323,2310,57.27%,340,925,1265
"District Judge, 351 st Judicial District",0848,1011,201,1212,1875,64.64%,369,778,1147
"District Judge, 351 st Judicial District",0849,731,455,1186,2272,52.20%,308,779,1087
"District Judge, 351 st Judicial District",0850,129,19,148,208,71.15%,59,82,141
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0851,1885,441,2326,3597,64.66%,1516,702,2218
"District Judge, 351 st Judicial District",0852,0,0,0,1,0.00%,0,0,0
"District Judge, 351 st Judicial District",0853,1537,487,2124,2986,71.13%,1559,476,2035
"District Judge, 351 st Judicial District",0854,40,19,59,175,33.71%,9,48,57
"District Judge, 351 st Judicial District",0855,7,2,9,21,42.86%,4,4,8
"District Judge, 351 st Judicial District",0856,0,3,3,0,0.00%,1,0,1
"District Judge, 351 st Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 351 st Judicial District",0858,121,35,156,334,46.71%,5,142,147
"District Judge, 351 st Judicial District",0859,391,143,534,945,56.51%,115,393,508
"District Judge, 351 st Judicial District",0860,1,1,2,0,0.00%,0,2,2
"District Judge, 351 st Judicial District",0861,777,272,1049,1941,54.04%,171,842,1013
"District Judge, 351 st Judicial District",0862,1989,508,2497,3739,66.78%,1442,954,2396
"District Judge, 351 st Judicial District",0863,192,64,256,581,44.06%,14,237,251
"District Judge, 351 st Judicial District",0864,693,574,1267,2708,46.79%,268,925,1193
"District Judge, 351 st Judicial District",0865,9,2,11,21,52.38%,2,9,11
"District Judge, 351 st Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0868,736,495,1231,2446,50.33%,302,864,1166
"District Judge, 351 st Judicial District",0869,165,55,220,480,45.83%,34,180,214
"District Judge, 351 st Judicial District",0870,0,2,2,0,0.00%,1,1,2
"District Judge, 351 st Judicial District",0871,2,1,3,3,100.00%,1,2,3
"District Judge, 351 st Judicial District",0872,16,6,22,68,32.35%,12,10,22
"District Judge, 351 st Judicial District",0873,296,111,407,778,52.31%,96,299,395
"District Judge, 351 st Judicial District",0874,1681,670,2351,3294,71.37%,1679,563,2242
"District Judge, 351 st Judicial District",0875,1947,501,2448,3592,68.15%,1118,1233,2351
"District Judge, 351 st Judicial District",0876,1945,577,2522,3485,72.37%,1732,689,2421
"District Judge, 351 st Judicial District",0877,1803,528,2331,3651,63.85%,851,1397,2248
"District Judge, 351 st Judicial District",0878,685,110,795,1039,76.52%,626,135,761
"District Judge, 351 st Judicial District",0879,1215,413,1628,2843,57.26%,658,900,1558
"District Judge, 351 st Judicial District",0880,1354,471,1825,2467,73.98%,1354,398,1752
"District Judge, 351 st Judicial District",0881,2465,927,3392,5638,60.16%,870,2405,3275
"District Judge, 351 st Judicial District",0882,1952,595,2547,4317,59.00%,744,1684,2428
"District Judge, 351 st Judicial District",0883,2252,928,3180,5613,56.65%,527,2528,3055
"District Judge, 351 st Judicial District",0884,149,55,204,396,51.52%,29,170,199
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0885,1570,323,1893,2811,67.34%,1054,771,1825
"District Judge, 351 st Judicial District",0886,495,152,647,906,71.41,%,348,241,589
"District Judge, 351 st Judicial District",0887,234,95,329,492,66.87%,172,122,294
"District Judge, 351 st Judicial District",0888,817,289,1106,1867,59.24%,342,719,1061
"District Judge, 351 st Judicial District",0889,113,28,141,238,59.24%,40,91,131
"District Judge, 351 st Judicial District",0890,445,98,543,1214,44.73%,231,269,500
"District Judge, 351 st Judicial District",0891,753,194,947,1376,68.82%,369,518,887
"District Judge, 351 st Judicial District",0892,420,123,543,900,60.33%,197,306,503
"District Judge, 351 st Judicial District",0893,1,4,5,9,55.56%,2,3,5
"District Judge, 351 st Judicial District",0894,801,305,1106,2087,52.99%,151,913,1064
"District Judge, 351 st Judicial District",0895,41,7,252,669,834,80.22%,329,280,609
"District Judge, 351 st Judicial District",0896,838,254,1092,1467,74.44%,426,596,1022
"District Judge, 351 st Judicial District",0897,812,365,1177,1766,66.65%,610,504,1114
"District Judge, 351 st Judicial District",0898,792,301,1093,1821,60.02%,430,624,1054
"District Judge, 351 st Judicial District",0899,745,165,911,1264,72.07%,564,321,885
"District Judge, 351 st Judicial District",0900,7,0,7,12,58.33%,1,6,7
"District Judge, 351 st Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0902,1310,361,1671,2217,75.37%,863,680,1543
"District Judge, 351 st Judicial District",0903,1314,354,1668,2558,65.21%,1201,404,1605
"District Judge, 351 st Judicial District",0904,2,0,2,8,25.00%,1,1,2
"District Judge, 351 st Judicial District",0905,390,136,526,946,55.60%,190,313,503
"District Judge, 351 st Judicial District",0906,19,3,22,28,78.57%,14,8,22
"District Judge, 351 st Judicial District",0907,53,37,90,201,44.78%,8,80,88
"District Judge, 351 st Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0909,7,1,8,21,38.10%,2,5,7
"District Judge, 351 st Judicial District",0910,78,37,115,236,48.73%,36,70,106
"District Judge, 351 st Judicial District",0911,237,63,300,576,52.08%,192,98,290
"District Judge, 351 st Judicial District",0912,712,167,879,1341,65.55%,507,326,833
"District Judge, 351 st Judicial District",0913,102,12,114,241,47.30%,21,89,110
"District Judge, 351 st Judicial District",0914,42,0,42,124,33.87%,9,31,40
"District Judge, 351 st Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0916,1472,308,1780,2205,80.73%,1330,368,1698
"District Judge, 351 st Judicial District",0917,33,9,42,147,28.57%,4,33,37
"District Judge, 351 st Judicial District",0918,3,1,4,7,57.14%,1,3,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0919,1,0,1,1,100.00%,0,1,1
"District Judge, 351 st Judicial District",0920,41,13,54,79,68.35%,32,20,52
"District Judge, 351 st Judicial District",0921,27,6,33,61,54.10%,6,27,33
"District Judge, 351 st Judicial District",0922,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0923,2331,350,2681,3536,75.82%,1986,626,2612
"District Judge, 351 st Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0926,550,149,699,967,72.29%,468,194,662
"District Judge, 351 st Judicial District",0927,966,173,1139,1771,64.31%,574,481,1055
"District Judge, 351 st Judicial District",0928,4,1,5,7,71.43%,0,5,5
"District Judge, 351 st Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0930,217,83,300,606,49.50%,17,270,287
"District Judge, 351 st Judicial District",0931,87,28,115,141,81.56%,52,53,105
"District Judge, 351 st Judicial District",0932,0,1,1,0,0.00%,0,1,1
"District Judge, 351 st Judicial District",0933,297,93,390,668,58.38%,123,252,375
"District Judge, 351 st Judicial District",0934,9,4,13,37,35.14%,7,6,13
"District Judge, 351 st Judicial District",0935,12,9,21,55,38.18%,7,13,20
"District Judge, 351 st Judicial District",0936,23,9,32,76,42.11%,8,20,28
"District Judge, 351 st Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0938,72,19,91,255,35.69%,30,61,91
"District Judge, 351 st Judicial District",0939,1,1,2,4,50.00%,1,1,2
"District Judge, 351 st Judicial District",0940,9,3,12,28,42.86%,1,11,12
"District Judge, 351 st Judicial District",0941,284,144,428,870,49.20%,199,204,403
"District Judge, 351 st Judicial District",0942,102,16,118,152,77.63%,80,35,115
"District Judge, 351 st Judicial District",0943,192,28,220,774,28.42%,49,156,205
"District Judge, 351 st Judicial District",0944,1,0,1,1,100.00%,0,1,1
"District Judge, 351 st Judicial District",0945,8,6,14,21,66.67%,1,12,13
"District Judge, 351 st Judicial District",0946,4,2,6,14,42.86%,1,5,6
"District Judge, 351 st Judicial District",0947,428,198,626,820,76.34%,325,256,581
"District Judge, 351 st Judicial District",0948,0,0,0,1,0.00%,0,0,0
"District Judge, 351 st Judicial District",0949,84,61,145,210,69.05%,65,71,136
"District Judge, 351 st Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0951,114,62,176,304,57.89%,40,125,165
"District Judge, 351 st Judicial District",0952,32,15,47,65,72.31%,29,15,44
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0953,4,0,4,8,50.00%,0,4,4
"District Judge, 351 st Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0955,3528,572,4100,5108,80.27%,2841,1061,3902
"District Judge, 351 st Judicial District",0956,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0957,282,39,321,585,54.87%,39,269,308
